time,chl,phyc,month
2011-02-01,0.14580037,0.48013362,2
2011-03-01,0.12896164,0.46044177,3
2011-04-01,0.11152958,0.43105125,4
2011-05-01,0.080665745,0.3821072,5
2011-06-01,0.05355897,0.33102697,6
2011-07-01,0.051880904,0.30542502,7
2011-08-01,0.058441445,0.2846043,8
2011-09-01,0.06611051,0.2992388,9
2011-10-01,0.08097564,0.24803542,10
2011-11-01,0.10830344,0.2854543,11
2011-12-01,0.11977423,0.35177308,12
2012-01-01,0.14367111,0.46308312,1
2012-02-01,0.14656585,0.550099,2
2012-03-01,0.13509102,0.5680617,3
2012-04-01,0.09920777,0.4613527,4
2012-05-01,0.06483305,0.3782822,5
2012-06-01,0.051788967,0.30719686,6
2012-07-01,0.05476223,0.2954038,7
2012-08-01,0.05633208,0.2942356,8
2012-09-01,0.06254206,0.30617473,9
2012-10-01,0.07238447,0.28611726,10
2012-11-01,0.08932295,0.23559867,11
2012-12-01,0.120192125,0.3271846,12
2013-01-01,0.12378526,0.3979882,1
2013-02-01,0.14982294,0.55027515,2
2013-03-01,0.14276877,0.5578611,3
2013-04-01,0.11358159,0.4670211,4
2013-05-01,0.06754885,0.37266296,5
2013-06-01,0.056127112,0.30722788,6
2013-07-01,0.056078415,0.26205295,7
2013-08-01,0.060003586,0.3148573,8
2013-09-01,0.05840296,0.28900883,9
2013-10-01,0.070719585,0.24695605,10
2013-11-01,0.09200895,0.25200856,11
2013-12-01,0.12339343,0.31956327,12
2014-01-01,0.13398309,0.40916193,1
2014-02-01,0.13844569,0.49349046,2
2014-03-01,0.1111103,0.43937153,3
2014-04-01,0.07648118,0.34872973,4
2014-05-01,0.06358769,0.3262332,5
2014-06-01,0.054972425,0.32227612,6
2014-07-01,0.052408367,0.29465753,7
2014-08-01,0.055088848,0.3122564,8
2014-09-01,0.06664601,0.3220405,9
2014-10-01,0.0833079,0.2818898,10
2014-11-01,0.09199747,0.24215022,11
2014-12-01,0.10725531,0.27978894,12
2015-01-01,0.116287686,0.34050512,1
2015-02-01,0.14176457,0.46234578,2
2015-03-01,0.122752264,0.4639821,3
2015-04-01,0.12545289,0.49453712,4
2015-05-01,0.068044655,0.36139423,5
2015-06-01,0.05546407,0.32063216,6
2015-07-01,0.06031325,0.3147881,7
2015-08-01,0.05908811,0.31938428,8
2015-09-01,0.06439563,0.3162886,9
2015-10-01,0.08177735,0.28511158,10
2015-11-01,0.11536662,0.30674484,11
2015-12-01,0.11787368,0.30802304,12
2016-01-01,0.12791047,0.37640733,1
2016-02-01,0.123325475,0.43971428,2
2016-03-01,0.10404372,0.3845269,3
2016-04-01,0.07370932,0.35912466,4
2016-05-01,0.058928963,0.3102889,5
2016-06-01,0.059224147,0.32057264,6
2016-07-01,0.057300456,0.28721464,7
2016-08-01,0.062155712,0.30874813,8
2016-09-01,0.06925146,0.31477547,9
2016-10-01,0.080262385,0.28153586,10
2016-11-01,0.10567572,0.28556198,11
2016-12-01,0.121491626,0.32812202,12
2017-01-01,0.1510897,0.4980958,1
2017-02-01,0.14962995,0.577495,2
2017-03-01,0.1484398,0.6161531,3
2017-04-01,0.09265272,0.41088387,4
2017-05-01,0.07067378,0.3772987,5
2017-06-01,0.05513634,0.33130378,6
2017-07-01,0.06217529,0.33059087,7
2017-08-01,0.0699232,0.33371156,8
2017-09-01,0.06762655,0.35322487,9
2017-10-01,0.081230745,0.2748603,10
2017-11-01,0.103818975,0.28633907,11
2017-12-01,0.106180444,0.2985618,12
2018-01-01,0.14387108,0.4127782,1
2018-02-01,0.15390399,0.53617907,2
2018-03-01,0.14243154,0.5490792,3
2018-04-01,0.09354796,0.40176314,4
2018-05-01,0.060014766,0.34381565,5
2018-06-01,0.052644968,0.30544177,6
2018-07-01,0.050321963,0.2923699,7
2018-08-01,0.06431919,0.33710647,8
2018-09-01,0.07638904,0.3269592,9
2018-10-01,0.09374202,0.27549678,10
2018-11-01,0.100722045,0.26112553,11
2018-12-01,0.1099607,0.28741768,12
2019-01-01,0.14895958,0.45851368,1
2019-02-01,0.16726243,0.57094437,2
2019-03-01,0.14127213,0.5363171,3
2019-04-01,0.14519581,0.5690773,4
2019-05-01,0.0829567,0.40818244,5
2019-06-01,0.057990797,0.343185,6
2019-07-01,0.057121273,0.30940422,7
2019-08-01,0.06389498,0.31546998,8
2019-09-01,0.07024289,0.30429503,9
2019-10-01,0.084891714,0.29857147,10
2019-11-01,0.106917426,0.28682405,11
2019-12-01,0.1212195,0.2933289,12
2020-01-01,0.14900891,0.45041806,1
2020-02-01,0.15007395,0.5446159,2
2020-03-01,0.13992764,0.5358431,3
2020-04-01,0.12572135,0.49293548,4
2020-05-01,0.072712705,0.39263284,5
2020-06-01,0.056928564,0.32982942,6
2020-07-01,0.06881802,0.3455027,7
2020-08-01,0.06283978,0.32970527,8
2020-09-01,0.06770429,0.32061514,9
2020-10-01,0.08695445,0.29856727,10
2020-11-01,0.12094147,0.30833343,11
2020-12-01,0.12327678,0.3184589,12
2021-01-01,0.14173928,0.378372,1
2021-02-01,0.14986631,0.44768417,2
2021-03-01,0.13423818,0.4676058,3
2021-04-01,0.12689532,0.4891839,4
2021-05-01,0.077649415,0.41734368,5
2021-06-01,0.05526414,0.35526395,6
2021-07-01,0.066272154,0.3567749,7
2021-08-01,0.06086085,0.32228065,8
2021-09-01,0.07901929,0.33966088,9
2021-10-01,0.10002647,0.30055645,10
2021-11-01,0.11868393,0.3041602,11
2021-12-01,0.11504343,0.30756104,12
2022-01-01,0.13406725,0.3973596,1
2022-02-01,0.1428657,0.48785585,2
2022-03-01,0.13643847,0.52042615,3
2022-04-01,0.13079086,0.5774425,4
2022-05-01,0.0713549,0.37426937,5
2022-06-01,0.059908926,0.35678315,6
2022-07-01,0.0752218,0.34415102,7
2022-08-01,0.07028098,0.39007172,8
2022-09-01,0.0847968,0.38304287,9
2022-10-01,0.10695605,0.3382166,10
2022-11-01,0.14827292,0.4076496,11
2022-12-01,0.12872912,0.33832455,12
