month,min_C,mean_C,median_C,max_C,std_C
1,14.16,16.5,16.53,18.86,0.81
2,13.76,15.9,15.93,17.5,0.61
3,14.11,15.7,15.7,16.82,0.54
4,14.72,16.25,16.28,17.82,0.6
5,17.01,18.65,18.65,20.96,0.64
6,19.5,21.81,21.89,23.18,0.64
7,18.39,22.9,23.01,25.6,1.09
8,19.99,23.65,23.62,26.33,1.06
9,20.02,22.87,22.98,24.51,0.83
10,19.36,21.11,20.97,23.37,0.72
11,16.41,18.96,18.92,21.12,0.88
12,15.01,17.53,17.57,19.88,0.9
